220.75          472.452 	66.037          229.397 	808.409 	68.3933 	284.209 	812.112 	63.5094 	293.472 	712.494 	62.3038 	344.206 	809.989 	63.5123 	427.793 	463.858 	59.178          487.7           463.975 	67.6163 	528.678 	771.832 	70.8001 	
220.771 	472.439 	66.0098 	229.38          808.482 	68.4251 	284.175 	812.116 	63.4971 	293.516 	712.353 	62.3709 	344.21          809.95          63.4631 	427.804 	463.877 	59.2228 	487.683 	463.954 	67.6581 	528.681 	771.784 	70.8756 	
220.783 	472.445 	66.046          229.389 	807.945 	68.5452 	284.234 	812.039 	63.5668 	293.446 	712.564 	62.2086 	344.204 	810.625 	63.3264 	427.808 	463.906 	59.2465 	487.721 	464.025 	67.7054 	528.661 	771.59          70.9713 	
220.695 	473.055 	65.9261 	229.483 	808.072 	68.4762 	284.206 	812.202 	63.5109 	293.521 	712.487 	62.3002 	344.339 	809.453 	63.7446 	427.834 	463.83          59.2239 	487.694 	464.033 	67.7012 	527.95          773.077 	69.9034 	
220.711 	473.115 	65.9069 	229.459 	808.05          68.4573 	284.248 	812.16          63.5357 	293.495 	712.458 	62.2702 	344.227 	810.037 	63.5151 	427.807 	463.822 	59.2052 	487.708 	463.988 	67.6921 	528.735 	771.821 	70.9139 	
220.755 	472.379 	66.0346 	229.448 	808.46          68.3681 	284.223 	812.168 	63.4982 	293.475 	712.426 	62.27           344.227 	809.944 	63.5467 	427.794 	463.807 	59.1636 	487.696 	463.958 	67.6204 	528.664 	771.741 	70.8301 	
220.723 	473.019 	65.8942 	229.346 	807.974 	68.4968 	284.181 	812.146 	63.4778 	293.45          712.406 	62.2604 	344.212 	810.039 	63.5101 	427.79          463.868 	59.1509 	487.696 	463.954 	67.5944 	528.681 	771.788 	70.7817 	
220.771 	472.468 	66.0324 	229.388 	808.05          68.4923 	284.231 	812.07          63.5309 	293.462 	712.467 	62.3263 	344.164 	809.937 	63.5049 	427.79          463.865 	59.1902 	487.707 	463.982 	67.6318 	528.693 	771.664 	70.9153 	
220.726 	473.202 	65.9289 	229.413 	808.01          68.4745 	284.226 	812.189 	63.4733 	293.452 	712.489 	62.3358 	344.26          809.935 	63.485          427.787 	463.858 	59.2207 	487.703 	464.014 	67.7103 	528.635 	771.6           71.0293 	
220.704 	472.559 	65.9759 	229.442 	808.056 	68.449          284.257 	812.033 	63.5763 	293.501 	712.42          62.3144 	344.451 	809.488 	63.7939 	427.822 	463.838 	59.242          487.685 	464.006 	67.7516 	528.1           772.991 	69.9022 	
