419.183 	766.987 	92.0839 	638.107 	79.7256 	91.8841 	648.233 	837.333 	92.2347 	
419.333 	774.825 	91.3907 	638.091 	79.7396 	91.8827 	648.252 	837.349 	92.2175 	
419.524 	781.149 	90.8723 	638.107 	79.723 	91.8336 	648.255 	837.369 	92.2179 	
418.882 	790.751 	89.2708 	638.149 	79.7427 	91.8175 	648.184 	837.411 	92.1877 	
417.827 	789.455 	90.3792 	638.151 	79.6325 	91.7752 	648.201 	837.348 	92.1152 	
416.825 	780.889 	93.0592 	638.144 	79.6083 	91.7748 	648.281 	837.291 	92.1066 	
418.111 	767.846 	95.5917 	638.108 	79.6106 	91.7698 	648.219 	837.31 	92.1429 	
423.323 	741.602 	99.8515 	638.128 	79.6273 	91.8029 	648.231 	837.339 	92.1613 	
429.788 	709.999 	98.0833 	638.104 	79.6627 	91.7977 	648.246 	837.325 	92.154 	
435.723 	675.251 	93.1533 	638.089 	79.7115 	91.8202 	648.199 	837.344 	92.2235 	
439.995 	643.276 	88.7454 	638.085 	79.7186 	91.8235 	648.209 	837.292 	92.2123 	
442.962 	618.714 	88.6682 	638.078 	79.7297 	91.892 	648.22 	837.3 	92.2331 	
444.077 	593.786 	88.5386 	638.088 	79.7134 	91.8817 	648.218 	837.336 	92.2259 	
443.883 	569.979 	88.3195 	638.107 	79.7131 	91.8869 	648.207 	837.353 	92.2522 	
443.916 	544.889 	88.618 	638.102 	79.7307 	91.8579 	648.243 	837.328 	92.2516 	
443.812 	516.248 	88.6867 	638.101 	79.7127 	91.8776 	648.223 	837.341 	92.2303 	
443.134 	491.75 	87.71 	638.142 	79.626 	91.7956 	648.245 	837.315 	92.1449 	
443.507 	465.345 	88.4397 	638.154 	79.5742 	91.7654 	648.241 	837.341 	92.1356 	
442.86 	437.96 	88.3737 	638.144 	79.5559 	91.7287 	648.246 	837.322 	92.1222 	
440.958 	411.523 	88.2771 	638.142 	79.5876 	91.7604 	648.223 	837.288 	92.1602 	
439.121 	386.585 	88.7458 	638.113 	79.6423 	91.7781 	648.225 	837.329 	92.1951 	
437.001 	361.519 	89.4005 	638.125 	79.6235 	91.7994 	648.208 	837.306 	92.2207 	
433.538 	334.902 	89.6815 	638.099 	79.6562 	91.8425 	648.243 	837.308 	92.2036 	
430.023 	307.625 	90.2386 	638.107 	79.7027 	91.8806 	648.214 	837.289 	92.2538 	
426.011 	280.864 	90.8951 	638.104 	79.7231 	91.8925 	648.212 	837.351 	92.262 	
